T,No,L,B,D,T,DWT,SC,OP,GP,WP,CREW,WD,TLWT,Total_elbow,30,40,50,60,70,80,90
training,1,214.7,38,23.7,18,88326,0.56,0.06,12,0.25,50,105,6200,304,3,15,57,119,67,28,15
training,2,214.7,38.2,22.2,16,60000,0.42,0.057,53,0.057,77,84,2500,66,1,3,13,25,14,7,3
training,3,232,41.5,23.5,16,92800,0.58,0.089,38,0.122,60,126,6000,294,3,14,56,108,70,29,14
training,4,273,50,28,18.8,180000,1.4,0.003,35,0.174,84,366,11000,297,3,17,62,108,68,27,12
training,5,276.4,45,26.6,19.7,105000,0.94,0.22,840,0.063,116,320,15000,223,2,11,42,88,51,20,9
training,6,300,59.6,30.5,22.8,343000,2,0.27,280,0.18,140,1400,23500,372,4,19,71,137,89,37,15
training,7,285,60,32.3,24.4,340660,2.2,0.25,400,0.525,100,1180,23000,736,7,37,147,268,176,81,20
training,8,296,63,32.3,24,375600,2.2,0.21,340,0.15,100,1220,30000,560,6,27,106,198,135,61,27
training,9,312.4,60,33.2,24.3,329000,2,0.24,280,0.265,190,1365,30000,842,8,50,176,308,201,85,14
training,10,305.1,58,32,23.4,312500,2,0.225,170,0.1,70,1030,22000,1383,15,82,261,497,333,154,41
training,11,260,46,25.8,18.5,142000,0.9,0.1,80,0.1,80,390,8000,234,2,11,48,86,57,21,9
training,12,319,58,31,23.4,360000,1.77,0.24,400,0.45,120,1310,24000,534,5,29,95,204,126,54,21
training,13,320,58.4,32,24,337859,2.2,0.25,450,0.12,100,1462,35000,684,8,39,129,249,162,68,29
training,14,310,61,30.5,23.5,321000,2,0.225,530,0.42,240,1325,37000,1472,16,75,278,567,327,134,75
training,15,320,61,32,24.7,353200,2,0.18,176.6,0.1,180,750,27700,448,5,23,85,164,98,50,23
training,16,250.2,34,19.1,12.8,43276,0.28,0.14,100,0.12,70,450,4500,239,2,12,46,86,57,24,12
training,17,253,42,23.2,15,103000,0.6,0.07,110,0.022,55,85,5000,196,2,12,41,70,45,18,8
training,18,334.9,43.7,27.7,21.4,228033,1.5,0.1,52,0.02,76,383,3500,89,1,4,17,35,20,8,4
training,19,245.4,39.6,20.6,14.7,94238,0.65,0.035,100,0.018,85,75,1900,85,1,4,16,33,20,8,3
training,20,362,60,28.3,23,356400,1.3,0.081,75,0.05,100,700,4500,215,2,11,43,78,51,24,6
training,21,271.8,46,26.6,18,150000,0.94,0.13,150,0.18,80,120,12000,258,3,13,49,90,62,28,13
training,22,271,44,22.4,17,138900,1.04,0.08,85,0.032,100,70,5500,206,2,12,43,76,49,21,3
training,23,337,54.5,27,21,273191,2,0.15,162,0.2,100,785,14000,889,10,53,168,319,214,99,26
training,24,328.6,54.5,27,21,273622,1,0.15,210,0.251,194,1035,14000,315,3,15,65,115,77,28,12
training,25,217.2,38,23,17,85943,0.45,0.1,75,0.3,90,113,6000,135,1,7,24,52,32,14,5
training,26,325,61,32.5,25.6,320000,1.9,0.22,150,0.382,240,800,32000,639,8,36,121,232,152,63,27
training,27,346.3,57.3,28.5,22.9,322911,2,0.14,35,0.325,46,1200,14000,630,7,32,119,243,140,57,32
training,28,295,50.6,29,19.9,128000,0.95,0.085,671,0.02,126,350,16000,272,3,14,52,99,60,30,14
training,29,271.7,46,26.6,18.2,148192,0.95,0.08,53,0.06,89,134,12000,661,6,32,126,241,158,66,32
training,30,242.3,42,21.1,14.9,105000,0.66,0.06,85,0.065,96,350,4500,157,2,9,33,57,36,14,6
test,A,285 ,60 ,32 ,24 ,340660 ,2 ,0 ,400 ,1 ,100 ,1010 ,23000 ,395,4,20,75,154,90,36,16
test,B,319 ,56 ,30 ,20 ,255271 ,2 ,0 ,71 ,0 ,110 ,1260 ,14500 ,201,2,10,38,75,48,20,8
test,C,305 ,61 ,32 ,24 ,350000 ,2 ,0 ,250 ,0 ,240 ,1200 ,37478 ,1108,11,55,221,404,265,122,30
