T,No,L,B,D,T,DWT,SC,OP,GP,WP,CREW,WD,TLWT,Total_gasket,30,40,50,60,70,80,90
training,1,214.7,38,23.7,18,88326,0.56,0.06,12,0.25,50,105,6200,352,4,14,18,32,70,133,81
training,2,214.7,38.2,22.2,16,60000,0.42,0.057,53,0.057,77,84,2500,103,1,4,6,11,22,37,22
training,3,232,41.5,23.5,16,92800,0.58,0.089,38,0.122,60,126,6000,479,5,20,29,48,96,171,110
training,4,273,50,28,18.8,180000,1.4,0.003,35,0.174,84,366,11000,424,4,17,21,43,85,157,97
training,5,276.4,45,26.6,19.7,105000,0.94,0.22,840,0.063,116,320,15000,344,3,17,17,34,69,125,79
training,6,300,59.6,30.5,22.8,343000,2,0.27,280,0.18,140,1400,23500,448,5,23,27,49,94,157,93
training,7,285,60,32.3,24.4,340660,2.2,0.25,400,0.525,100,1180,23000,708,7,28,35,78,134,264,162
training,8,296,63,32.3,24,375600,2.2,0.21,340,0.15,100,1220,30000,805,8,40,48,88,168,295,158
training,9,312.4,60,33.2,24.3,329000,2,0.24,280,0.265,190,1365,30000,1060,10,54,64,95,223,381,233
training,10,305.1,58,32,23.4,312500,2,0.225,170,0.1,70,1030,22000,1972,20,101,101,196,392,689,473
training,11,260,46,25.8,18.5,142000,0.9,0.1,80,0.1,80,390,8000,254,2,12,14,24,53,94,55
training,12,319,58,31,23.4,360000,1.77,0.24,400,0.45,120,1310,24000,700,8,29,34,77,149,248,155
training,13,320,58.4,32,24,337859,2.2,0.25,450,0.12,100,1462,35000,1971,20,85,93,178,359,796,440
training,14,310,61,30.5,23.5,321000,2,0.225,530,0.42,240,1325,37000,797,8,33,41,72,159,300,184
training,15,320,61,32,24.7,353200,2,0.18,176.6,0.1,180,750,27700,1791,17,71,109,198,374,648,374
training,16,250.2,34,19.1,12.8,43276,0.28,0.14,100,0.12,70,450,4500,184,2,8,11,18,37,66,42
training,17,253,42,23.2,15,103000,0.6,0.07,110,0.022,55,85,5000,115,1,5,6,12,23,42,26
training,18,334.9,43.7,27.7,21.4,228033,1.5,0.1,52,0.02,76,383,3500,140,1,7,7,14,28,51,32
training,19,245.4,39.6,20.6,14.7,94238,0.65,0.035,100,0.018,85,75,1900,121,1,6,7,13,25,44,25
training,20,362,60,28.3,23,356400,1.3,0.081,75,0.05,100,700,4500,134,1,5,7,15,25,50,31
training,21,271.8,46,26.6,18,150000,0.94,0.13,150,0.18,80,120,12000,426,4,21,25,47,89,156,84
training,22,271,44,22.4,17,138900,1.04,0.08,85,0.032,100,70,5500,506,5,26,31,45,106,182,111
training,23,337,54.5,27,21,273191,2,0.15,162,0.2,100,785,14000,447,5,23,23,44,89,156,107
training,24,328.6,54.5,27,21,273622,1,0.15,210,0.251,194,1035,14000,396,4,18,21,38,82,147,86
training,25,217.2,38,23,17,85943,0.45,0.1,75,0.3,90,113,6000,207,2,9,10,23,44,73,46
training,26,325,61,32.5,25.6,320000,1.9,0.22,150,0.382,240,800,32000,1814,19,78,85,164,331,732,405
training,27,346.3,57.3,28.5,22.9,322911,2,0.14,35,0.325,46,1200,14000,332,3,14,17,30,66,125,77
training,28,295,50.6,29,19.9,128000,0.95,0.085,671,0.02,126,350,16000,993,9,39,49,109,188,372,227
training,29,271.7,46,26.6,18.2,148192,0.95,0.08,53,0.06,89,134,12000,486,5,20,29,48,98,174,112
training,30,242.3,42,21.1,14.9,105000,0.66,0.06,85,0.065,96,350,4500,137,1,5,7,14,27,52,31
test,A,285,60,32,24,340660,2,0,400,1,100,1010,23000,385,4,19,19,38,77,139,89
test,B,319,56,30,20,255271,2,0,71,0,110,1260,14500,516,5,26,31,57,108,181,108
test,C,305,61,32,24,350000,2,0,250,0,240,1200,37478,1114,10,44,68,123,233,403,233
